,Tweets,Subjectivity,Polarity,Analysis
0,"Bitcoin stop this fuckery 🙏 

$BTC $ETH $LTC $LINK $BCH $XLM $AAVE $UNI $EOS $SNX $ATOM $XTZ $MKR $COMP $FIL $UMA… ",0.0,0.0,Neutral
1,"RT @bitcoin_whales: Considering adding another $200k of $ID. With that team, partnerships, investors &amp; global license through banking rails…",0.0,0.0,Neutral
2,"RT @Darth__Warder: 🔥 $SXP OUR NEW ROAD MAP 👌 We can go to the destination in a much shorter time. 💼

🌈 @SwipeWallet @BinanceChain

$BTC $ET…",0.32727272727272727,0.16818181818181818,Positive
3,"🔥 $SXP OUR NEW ROAD MAP 👌 We can go to the destination in a much shorter time. 💼

🌈 @SwipeWallet @BinanceChain… ",0.32727272727272727,0.16818181818181818,Positive
4,"@OKEx I would $DAI for you. When I see you, my heart starts to $PAX Love is a $Ripple of desire, understanding and… ",0.6,0.5,Positive
5,"RT @bycoinhunter: Bu tweeti RT'leyen tüm takipçilerimize: 👇 ŞART YOK

1⃣Binance üzerinde 2x Beklentimin olduğu 10 parite ve analizi

2⃣200$…",0.0,0.0,Neutral
6,"Just keep buying them small market cap coins 🧠🚀

$BTC $ETH $LTC $LINK $BCH $XLM $AAVE $UNI $EOS $SNX $ATOM $XTZ… ",0.4,-0.25,Negative
7,"Top 5 Legit Crypto in 2021
2,013.5% $VGX Voyager
1,275.5% $AVAX Avalanche
1,116.7% $ALPHA Alpha Finance
526.0% $SOL… ",0.5,0.5,Positive
8,"I don't think I could have drawn it better after it eventuated. $BTC

$ETH $ADA $RUNE $XLM $OCEAN $REN $KSM $UNI… ",0.5,0.5,Positive
9,$aave targets $700-$950,0.0,0.0,Neutral
10,"RT @cryptocom:  #DeFi Wallet

💰 Securely Manage, Swap &amp; Farm DeFi Tokens, including $UNI, $COMP, $YFI, $CRO, $AAVE,…",0.6,0.4,Positive
11,Amazing #crypto sale happening today! What are you loading your bags with? $dnt $aave $comp $uma $rep $nmr $bal $zrx,0.9,0.7500000000000001,Positive
12,"RT @DaanCrypto: My realistic minimum crypto price predictions for this year:

$BTC - $80.000
$ETH - $5.000
$DOT - $100
$BNB - $300
$LTC - $…",0.3333333333333333,0.16666666666666666,Positive
13,$AAVE gotta chill out. This is $DAI btw. ,0.0,0.0,Neutral
14,"Daily Coinbase!

@coinbase
@CoinbasePro
$BTC $ETH $LTC $LINK $BCH $XLM $AAVE $UNI $EOS $SNX $ATOM $XTZ $MKR $COMP… ",0.0,0.0,Neutral
15,"RT @linkchainlink: What makes $LINK marines brilliant? 

-Iron hands 
-Knowledgeable about Oracles 
-Creative memes 
-Brotherhood of commun…",1.0,0.7,Positive
16,"RT @cryptoctor: #DeFi 02-14-21!

⚖️ Markets 💪, $BTC $BNB pushing up
🚨 Stay back $alpha until exploit report. $cream in trouble
🏦 $Comp incr…",0.1,-0.1,Negative
17,"Spot on with $BTC

$ETH $ADA $RUNE $XLM $OCEAN $REN $KSM $UNI $DOT $LTC $AAVE $BNB $VET $BAT $XRP $XLM $XMR $SOL… ",0.0,0.0,Neutral
18,@AlexjFerraro $Aave sir?,0.0,0.0,Neutral
19,"RT @DaanCrypto: My realistic minimum crypto price predictions for this year:

$BTC - $80.000
$ETH - $5.000
$DOT - $100
$BNB - $300
$LTC - $…",0.3333333333333333,0.16666666666666666,Positive
20,Call me crazy but $mxx will go past $Aave after launching mainnet on #BSC. Just a small comparison at current marke… ,0.48749999999999993,-0.275,Negative
21,"RT @mempools: wow bancor vortex is huge, guess $bnt is the next $aave",0.6333333333333333,0.1666666666666667,Positive
22,"#TA #BTC/USD 
TAKE THIS #Bitcoin  TRADE TODAY

$BTC $ETH $ADA $LINK $AAVE $DOGE $UNI $MKR $COMP $YFI $EGLD $CRV… ",0.0,0.0,Neutral
23,"@OKEx 🌹

I would $DAI for you
When I see you, my heart starts to $PAX
Love is a $Ripple of desire, understanding an… ",0.6,0.5,Positive
24,$aave wtf are you doing?,1.0,-0.5,Negative
25,"RT @amonbuy: 🅱️ TIK TAK 🅱️

#DeFi in coming! 

Last 44 Days ⏰⏳
 
$GVT X100...loading 🚀🚀🚀🚀

Only 4 mill token supply 

$GVT  below $1,000 is…",0.5333333333333333,0.0,Neutral
26,"RT @anitawolft: Yes I agree, $GVT #DeFi in coming 🚀🚀🚀

Last chance to buy $GVT for cheap!

#ALTSEASON #Crypto #Bitcoin #dogecoin #DOGE $XRP…",0.3833333333333333,0.25,Positive
27,"The market in correction. Book your profits.

$eth $btc $ada $snx $etc $mkr $aave $egld $yfii $ksm $dot $uni $akro… ",0.0,0.0,Neutral
28,"RT @DaanCrypto: My realistic minimum crypto price predictions for this year:

$BTC - $80.000
$ETH - $5.000
$DOT - $100
$BNB - $300
$LTC - $…",0.3333333333333333,0.16666666666666666,Positive
29,"RT @TheJonnyReid: TVL up another 10m now for $IDLE
117M And still rising 

1b+ incoming easy for this one.

$YFI $SNX $MKR $ETH $AAVE https…",0.8333333333333334,0.43333333333333335,Positive
30,these borrowing rates shot up overnight I- $aave $usdc ,0.0,0.0,Neutral
31,"Looking that way $BTC

$ETH $ADA $RUNE $XLM $OCEAN $REN $KSM $UNI $DOT $LTC $AAVE $BNB $VET $BAT $XRP $XLM $XMR… ",0.0,0.0,Neutral
32,"RT @bycoinhunter: Bu tweeti RT'leyen tüm takipçilerimize: 👇 ŞART YOK

1⃣Binance üzerinde 2x Beklentimin olduğu 10 parite ve analizi

2⃣200$…",0.0,0.0,Neutral
33,"RT @CryptoGodJohn: $SNX to $40 they say..

50% gains 

Need to complete the $AAVE prophecy. ",0.4,0.1,Positive
34,"@OKEx @genesis46743212 
☑️ 💌 I would $DAI for you.
☑️ 💌 When I see you, my heart starts to $PAX
☑️💌 Love is a… ",0.6,0.5,Positive
35,"RT @DaanCrypto: My realistic minimum crypto price predictions for this year:

$BTC - $80.000
$ETH - $5.000
$DOT - $100
$BNB - $300
$LTC - $…",0.3333333333333333,0.16666666666666666,Positive
36,Will $REEF be the new $AAVE?,0.45454545454545453,0.13636363636363635,Positive
37,"$ALGO $ETC 2 largest adds for this past week
$LINK $AAVE 💪🏻💪🏻",0.25,-0.25,Negative
38,"RT @bycoinhunter: Bu tweeti RT'leyen tüm takipçilerimize: 👇 ŞART YOK

1⃣Binance üzerinde 2x Beklentimin olduğu 10 parite ve analizi

2⃣200$…",0.0,0.0,Neutral
39,#PUMPIT now! $aave ,0.0,0.0,Neutral
40,$AAVE getting some more passengers before flying and breaking another all time high! prolly about $600,0.52,0.35,Positive
41,"New to cryptocurrency? Try out Binance! 🌟

It is the #1 crypto trading site!

Get a 25% discount on fees by registe… ",0.45454545454545453,0.2130681818181818,Positive
42,"RT @DaanCrypto: My realistic minimum crypto price predictions for this year:

$BTC - $80.000
$ETH - $5.000
$DOT - $100
$BNB - $300
$LTC - $…",0.3333333333333333,0.16666666666666666,Positive
43,"I know what you need, the new GEM is $XSN! 💎

🚀  #Dapps and Layer2 DEX
🚀 Cold staking #TPoS 
🚀 Layer 2 solutions… ",0.7272727272727273,-0.21477272727272728,Negative
44,"Best discord group for the traders join here 

$DOGE $ETH $BTC $GME $ATH $LRC $UNI $AAVE $WSB $DOT  $FTT $NOK $RH… ",0.3,1.0,Positive
45,"Down 19.8k today all together, do I care? Nope, see you on the moon soon, just be patient 🚀🔥📈 $BTC $ETH $RSR $REEF $AAVE",0.2888888888888889,-0.15555555555555559,Negative
46,"Les musulmans dans la crypto j'ai une question à vous pensez srx mdr 
dm  

$btc $eth $coti $link $dot $aave $bake… ",0.0,0.0,Neutral
47,"[14/02/2021 16:09] The 4h RSI is over-sold! Bullish signal here 🐂 🔥 in these $BTC pairs:
$DOGE $AAVE",0.0,0.0,Neutral
